Model,AU_PRC,AU_ROC,Time,Data_Patition,SMOTE_OverPercent
KNN,0.54,0.9649,9.4787,0.7,200
KNN,0.5415,0.9633,17.1021,0.7,400
KNN,0.5867,0.9663,28.1331,0.7,600
KNN,0.5424,0.9551,40.8275,0.7,800
KNN,0.5547,0.9703,10.9763,0.6,200
KNN,0.5881,0.966,15.8502,0.6,400
KNN,0.6911,0.9646,24.5203,0.6,600
KNN,0.6605,0.9653,34.39,0.6,800
KNN,0.625,0.9761,39.4493,0.8,800
KNN,0.6191,0.9765,33.0303,0.8,600
KNN,0.6238,0.9768,15.5988,0.8,400
KNN,0.5532,0.978,7.4763,0.8,200
LASSO,0.0031,0.3996,0.581,0.7,200
LASSO,0.0026,0.3531,0.7721,0.7,400
LASSO,0.0024,0.3498,0.8681,0.7,600
LASSO,0.0019,0.289,1.3338,0.7,800
LASSO,0.0016,0.332,0.7925,0.6,200
LASSO,0.0017,0.3467,0.6642,0.6,400
LASSO,0.0014,0.2962,0.8712,0.6,600
LASSO,0.0017,0.3444,0.9504,0.6,800
LASSO,0.0018,0.2682,1.2375,0.8,800
LASSO,0.002,0.2985,0.9345,0.8,600
LASSO,0.002,0.2886,0.9827,0.8,400
LASSO,0.0029,0.4012,0.5288,0.8,200
LOGIT,0.6868,0.9619,0.5015,0.7,200
LOGIT,0.6094,0.9596,0.3679,0.7,400
LOGIT,0.6338,0.956,0.4011,0.7,600
LOGIT,0.7319,0.964,0.6956,0.7,800
LOGIT,0.6089,0.9828,0.5341,0.6,200
LOGIT,0.5899,0.9758,0.493,0.6,400
LOGIT,0.7691,0.9737,0.448,0.6,600
LOGIT,0.7198,0.9766,0.4595,0.6,800
LOGIT,0.8026,0.9771,0.4142,0.8,800
LOGIT,0.7813,0.982,0.3166,0.8,600
LOGIT,0.7385,0.974,0.2831,0.8,400
LOGIT,0.745,0.9826,0.2318,0.8,200
NN,0.1325,0.9493,14.1514,0.7,200
NN,0.7214,0.9322,35.0232,0.7,400
NN,0.1678,0.9112,309.7372,0.7,600
NN,0.2984,0.9307,215.8485,0.7,800
NN,0.0785,0.9376,28.8323,0.6,200
NN,0.1718,0.9556,51.2648,0.6,400
NN,0.2336,0.9442,163.0764,0.6,600
NN,0.2138,0.9488,200.0437,0.6,800
NN,0.2192,0.9779,498.1467,0.8,800
NN,0.2169,0.9704,142.8205,0.8,600
NN,0.138,0.9622,150.6095,0.8,400
NN,0.1403,0.9565,89.6394,0.8,200
RF,0.744,0.9756,6.4892,0.7,200
RF,0.7675,0.9761,10.5628,0.7,400
RF,0.7266,0.9769,15.191,0.7,600
RF,0.7411,0.9763,19.1757,0.7,800
